emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,23745,34403,2958101,Senior Staff
10122,Ohad,Esposito,23761,36013,2958101,Technique Leader
10291,Dipayan,Seghrouchni,23765,31866,2958101,Senior Staff
10476,Kokou,Iisaka,23743,32040,2958101,Senior Staff
10663,Teunis,Noriega,23751,36203,2958101,Technique Leader
10762,Lech,Himler,23761,33624,2958101,Staff
10933,Juyoung,Seghrouchni,23766,34183,2958101,Senior Engineer
12155,Keiichiro,Glinert,23763,34228,2958101,Engineer
12408,Rasiah,Sudkamp,23752,34807,2958101,Senior Engineer
12643,Morrie,Schurmann,23772,36160,2958101,Staff
13499,Kazuhiko,Sidou,23758,33482,2958101,Technique Leader
14075,Denny,Tchuente,23745,33388,2958101,Assistant Engineer
14104,Sudhanshu,Demian,23745,34538,2958101,Staff
14127,Magdalena,Cannard,23752,34446,2958101,Engineer
14158,Caolyn,Setiz,23764,32910,2958101,Senior Staff
14476,Sastry,Marrevee,23761,36428,2958101,Engineer
14907,Nakhoon,Luga,23756,31764,2958101,Staff
15050,Nikolaos,Kruskal,23760,33224,2958101,Engineer
15058,Bouchung,Bugrara,23772,33042,2958101,Staff
15413,Arvin,Rabejac,23759,34335,2958101,Senior Engineer
16461,Remmert,Schahn,23756,31661,2958101,Staff
16528,Gaurav,Swick,23763,35192,2958101,Assistant Engineer
17013,Morris,Garigliano,23757,34843,2958101,Senior Staff
17206,Berry,DeMori,23744,33965,2958101,Engineer
17369,Yaghout,Kenevan,23773,36784,2958101,Engineer
17447,Zengping,Boreale,23753,36145,2958101,Staff
17731,Gennady,Roison,23758,32848,2958101,Assistant Engineer
17970,Filipp,Carrere,23748,32517,2958101,Technique Leader
17988,Mabhin,Calkin,23773,32842,2958101,Senior Engineer
18021,Adil,Matzke,23749,31905,2958101,Senior Engineer
18424,Filipp,Rousseau,23761,34857,2958101,Engineer
18583,Stafford,Honglei,23745,36023,2958101,Staff
18617,Surveyors,Crouzet,23763,32622,2958101,Senior Staff
18810,Taiji,Jarecki,23751,33416,2958101,Engineer
19236,Elzbieta,Morris,23766,32336,2958101,Engineer
19350,Satoru,Yoshizawa,23761,34420,2958101,Senior Staff
19803,Ziva,Kowalchuk,23772,31941,2958101,Senior Engineer
20100,Utz,Heuter,23760,31578,2958101,Staff
20128,Kazunori,Peak,23765,36385,2958101,Senior Staff
20129,Rafael,Skafidas,23752,33325,2958101,Engineer
20248,Vidar,Demri,23754,36525,2958101,Staff
20313,Candida,Benveniste,23766,36180,2958101,Engineer
20500,Christoph,Trystram,23772,34257,2958101,Senior Staff
20885,Otmar,Rothenberg,23763,32581,2958101,Senior Engineer
21181,Jianhui,Cangellaris,23763,33517,2958101,Engineer
21188,Piyush,Danecki,23763,36533,2958101,Engineer
21546,Yongmin,Lanteri,23743,37334,2958101,Senior Staff
21843,Karsten,Azadmanesh,23751,31380,2958101,Senior Engineer
21909,Mohammed,Brizzi,23746,33600,2958101,Staff
22185,Huai,Birch,23771,37419,2958101,Engineer
22415,Perla,Jumpertz,23762,34570,2958101,Senior Staff
22451,Jasminko,Bresenham,23769,34353,2958101,Senior Staff
22455,Barry,Unno,23748,33193,2958101,Senior Staff
22926,Manibrata,Genther,23743,32157,2958101,Engineer
23396,Hilari,Fairtlough,23744,31761,2958101,Technique Leader
24080,Jaana,Perez,23768,35135,2958101,Technique Leader
24205,Roddy,Rubsam,23767,34231,2958101,Senior Engineer
24377,Lubomir,Wroclawski,23767,34175,2958101,Engineer
24394,Zhonghui,Conta,23746,34587,2958101,Staff
24553,Anwar,Passafiume,23754,31807,2958101,Senior Staff
24571,Cordelia,Gischer,23762,32581,2958101,Engineer
25488,Ingmar,Basawa,23761,33551,2958101,Staff
26629,Nevin,Rodham,23770,36143,2958101,Senior Staff
26671,Jiakeng,Kalorkoti,23763,34693,2958101,Senior Engineer
26788,Zongyan,Dalphin,23767,32256,2958101,Engineer
27331,Wanqing,Krohm,23761,33260,2958101,Senior Staff
27378,Piyawadee,Leppanen,23770,36216,2958101,Senior Staff
27620,Shuji,Kandlur,23767,32934,2958101,Engineer
27686,Manu,Rosiles,23770,35857,2958101,Senior Staff
27699,Falguni,Pezzoli,23757,35422,2958101,Engineer
27767,Tooru,Veldwijk,23769,34294,2958101,Senior Staff
28193,Xinglin,Mitsuhashi,23771,32491,2958101,Senior Engineer
28974,Chenxi,Sundgren,23751,31657,2958101,Senior Engineer
28988,Tua,Giveon,23760,36047,2958101,Technique Leader
29130,Xumin,Thorensen,23748,35911,2958101,Staff
29265,Gilbert,Calkin,23756,32223,2958101,Senior Staff
29380,Satoru,Vidal,23772,35917,2958101,Assistant Engineer
29418,Valery,Mersereau,23764,35977,2958101,Assistant Engineer
29679,Kolar,Steenbeek,23759,31703,2958101,Senior Engineer
29782,Jouko,Hellwagner,23771,36822,2958101,Senior Engineer
29954,Pranay,Giarratana,23769,33876,2958101,Senior Engineer
30007,Kousuke,Vecchio,23766,32927,2958101,Engineer
30035,Tetsushi,Conta,23750,34884,2958101,Senior Staff
30154,Mayuko,Skafidas,23768,36269,2958101,Technique Leader
30182,Leon,Potthoff,23768,31389,2958101,Engineer
30465,Randi,Avouris,23770,31609,2958101,Senior Engineer
30484,Sailaja,Chvatal,23753,36298,2958101,Staff
30695,Gudjon,Majewski,23750,36459,2958101,Senior Engineer
30938,Yakkov,Samarati,23748,35713,2958101,Staff
31147,Divine,Sidhu,23746,32694,2958101,Senior Staff
31188,Leandro,Gist,23754,34003,2958101,Technique Leader
31207,Abdelwaheb,Dulin,23772,34186,2958101,Senior Engineer
31341,Oksana,Zultner,23743,33320,2958101,Senior Staff
31514,Harngdar,Schapire,23755,35378,2958101,Engineer
31568,Mark,Lalonde,23752,35393,2958101,Staff
31909,Murthy,Peek,23752,36829,2958101,Engineer
32347,Terresa,Peres,23750,33131,2958101,Senior Staff
32552,Atreye,Stanger,23759,34222,2958101,Engineer
32649,Ingmar,Nannarelli,23754,32304,2958101,Senior Staff
32714,Radoslaw,Maliniak,23758,37152,2958101,Staff
32844,Tadahiko,Melton,23765,34706,2958101,Engineer
33025,Jessie,Thorelli,23754,36510,2958101,Senior Staff
33215,Steen,Fasbender,23771,34014,2958101,Technique Leader
33722,Anwar,Collette,23757,36925,2958101,Senior Engineer
34077,Angel,Sichman,23750,32463,2958101,Senior Staff
34261,Kyoichi,Callaway,23747,33237,2958101,Staff
34446,Chinhyun,Bauknecht,23773,31765,2958101,Senior Engineer
34452,Naftaly,Foong,23750,33368,2958101,Senior Engineer
34505,Felicidad,Kumaresan,23770,34583,2958101,Senior Staff
34533,Erzsebet,Shigei,23752,34715,2958101,Senior Engineer
34780,Moni,Kohling,23758,37152,2958101,Staff
34788,Ennio,Babu,23769,34577,2958101,Senior Engineer
34936,Bokyung,Stamatiou,23754,33281,2958101,Technique Leader
35044,Jiang,Waschkowski,23746,32655,2958101,Engineer
35087,Leif,Ashish,23759,34621,2958101,Senior Staff
35441,Chandrasekaran,Peek,23773,33133,2958101,Engineer
35642,Ashish,Talmon,23772,36219,2958101,Senior Engineer
35793,Oscar,Kusalik,23743,33369,2958101,Senior Staff
35798,Ulf,Oberman,23771,35504,2958101,Senior Engineer
36521,Serif,Gladwell,23763,31842,2958101,Senior Staff
36626,Fen,Genin,23744,31541,2958101,Senior Staff
36733,Uma,Reinhard,23746,35735,2958101,Staff
36844,Hailing,Levergood,23743,36537,2958101,Staff
36982,Kotesh,Rajala,23764,33778,2958101,Engineer
37070,Jeong,Undy,23764,31091,2958101,Senior Staff
37945,Suzette,Butterworth,23744,34384,2958101,Senior Engineer
38043,Michaela,Randi,23747,31374,2958101,Engineer
38103,Masasuke,Babu,23754,32233,2958101,Senior Engineer
38168,Fumiko,Deverell,23756,32004,2958101,Senior Staff
38550,JoAnne,Baez,23756,31824,2958101,Senior Engineer
38593,Huei,Orsini,23756,31567,2958101,Engineer
38947,Shuichi,Ruemmler,23767,35893,2958101,Senior Staff
39000,Martijn,Vendrig,23750,35492,2958101,Senior Staff
39036,Changho,Cappelli,23750,35189,2958101,Staff
39301,Rimon,Kawashima,23749,33640,2958101,Staff
39341,Mahmut,Lampe,23743,31178,2958101,Engineer
39952,Otmar,Sudbeck,23744,35998,2958101,Staff
40269,Toshiki,Ghazalie,23752,33577,2958101,Senior Staff
40283,Sudhanshu,Boissier,23749,31178,2958101,Engineer
40301,Spyrose,Felder,23762,35723,2958101,Senior Engineer
40536,Harngdar,Bernardinello,23762,32202,2958101,Engineer
40765,Michaela,Ramsak,23743,33959,2958101,Senior Staff
40773,Shimshon,Aingworth,23751,31515,2958101,Senior Staff
40983,Marla,Cherinka,23759,31747,2958101,Technique Leader
41114,Petter,Thummel,23767,35057,2958101,Technique Leader
41137,Bikash,Buchter,23762,35072,2958101,Senior Staff
41357,Willard,Vernadat,23748,35493,2958101,Engineer
41518,Keung,Schapiro,23753,36930,2958101,Senior Engineer
41520,Xiong,Uhrik,23762,32223,2958101,Senior Engineer
41609,Yucai,Simmen,23746,32063,2958101,Senior Staff
42778,Shuji,Remmers,23761,32129,2958101,Senior Staff
42911,Brigham,Eterovic,23771,34615,2958101,Engineer
42950,Shaleah,Eickenmeyer,23764,34251,2958101,Senior Staff
42955,Yucel,Lortz,23754,34751,2958101,Engineer
43154,Maha,Waterhouse,23755,35615,2958101,Senior Staff
43733,Huei,Boguraev,23768,34334,2958101,Senior Staff
43848,Phillip,Oxenboll,23753,36306,2958101,Engineer
44054,Alenka,Ritcey,23760,35470,2958101,Engineer
44265,Maria,Eppinger,23766,35460,2958101,Engineer
44540,Mingzeng,Sadowski,23758,32824,2958101,Senior Engineer
